번호,개방자치단체코드,관리번호,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,업태구분명,좌표정보(x),좌표정보(y),위생업태명
22263,3190000,3190000-201-1970-00113,156800,서울특별시 동작구 노량진동 59-32번지,서울특별시 동작구 노량진로14길 6 (노량진동),6922,반도,여관업,194784.3711,445661.6537,여관업
22264,3190000,3190000-201-1973-00049,156803,서울특별시 동작구 노량진동 231-110,서울특별시 동작구 장승배기로 132-2 (노량진동),6924,화신,여인숙업,194666.5958,445219.9662,여인숙업
22265,3190000,3190000-201-1983-00095,156816,서울특별시 동작구 사당동 148-22번지,서울특별시 동작구 사당로 291 (사당동),7008,세림장모텔,여관업,198146.8843,442526.4397,여관업
22266,3190000,3190000-201-1999-00129,156827,"서울특별시 동작구 사당동 1044-28번지 28호, 29호",서울특별시 동작구 동작대로1길 33 (사당동),7025,로얄모텔,여관업,198117.6558,441672.2266,여관업
22267,3190000,3190000-201-1969-00101,156800,서울특별시 동작구 노량진동 40-46번지,서울특별시 동작구 노량진로12길 4-9 (노량진동),6928,대흥 모텔,여관업,194440.8683,445646.4748,여관업
22268,3100000,3100000-201-1971-00029,139815,서울특별시 노원구 상계동 169-221,서울특별시 노원구 한글비석로23길 37 (상계동),1683,도봉,여인숙업,206209.7793,461871.1065,여인숙업
22269,3100000,3100000-201-1989-00003,139942,서울특별시 노원구 상계동 703-1,서울특별시 노원구 노해로75길 14-7 (상계동),1689,노원모텔,여관업,205025.5625,461355.1953,여관업
22270,3100000,3100000-201-1983-00006,139808,서울특별시 노원구 공릉동 684-20,서울특별시 노원구 화랑로 413 (공릉동),1860,엠호텔,여관업,206409.6739,457205.6085,여관업
22271,3100000,3100000-201-1981-00022,139845,서울특별시 노원구 월계동 383-21,서울특별시 노원구 광운로 61 (월계동),1892,쉴,여관업,205201.5196,457845.1272,여관업
22272,3100000,3100000-201-2004-00001,139808,서울특별시 노원구 공릉동 670-8,"서울특별시 노원구 화랑로 445 (공릉동, 공릉동 670-8)",1849,W호텔,일반호텔,206708.255,457338.96,일반호텔
22273,3190000,3190000-201-1969-00084,156800,서울특별시 동작구 노량진동 27-12번지,서울특별시 동작구 노량진로 94 (노량진동),6927,닉스모텔,여관업,194283.2283,445652.6887,여관업
22274,3190000,3190000-201-1971-00117,156802,서울특별시 동작구 노량진동 211-47번지 외1필지,"서울특별시 동작구 만양로14길 20 (노량진동,외1필지)",6914,부흥,여관업,195107.8782,445495.6188,여관업
22275,3100000,3100000-201-2008-00001,139808,서울특별시 노원구 공릉동 661-9번지 (2층.3층),"서울특별시 노원구 화랑로 459 (공릉동,(2층.3층))",1849,우정모텔,여관업,206826.4535,457382.8505,여관업
22276,3100000,3100000-201-1996-00010,139942,서울특별시 노원구 상계동 703,서울특별시 노원구 노해로75길 14-3 (상계동),1689,호텔럭스,일반호텔,205007.7408,461350.2091,일반호텔
22277,3100000,3100000-201-1997-00012,139942,서울특별시 노원구 상계동 707-2,서울특별시 노원구 노해로75길 14-21 (상계동),1689,호텔 리버,여관업,205102.1076,461376.6189,여관업
